WBS_Name,Activity_ID,Activity_Name,Duration_Days,Predecessor_ID,BOQ_Code,Crew_ID
1.1 Contract Mobilization & Site Establishment,A1000,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
1.1 Contract Mobilization & Site Establishment,A1010,Receive Notice to Proceed (NTP) / Letter of Acceptance (LOA),0,START,N/A,N/A
1.1 Contract Mobilization & Site Establishment,A1020,"Submit Contractual Guarantees (Performance Bond, Advance Payment Guarantee)",0,START,N/A,N/A
1.1 Contract Mobilization & Site Establishment,A1030,Submit Required Insurance Policies for Approval,5,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1040,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1050,Project Controls - Setup & Baseline Phase**,20,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1060,Develop and Finalise Project Controls Plan,10,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1070,Establish Work Breakdown Structure (WBS) and Organisational Breakdown Structure (OBS),10,A1060,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1080,Develop and Agree on Project Calendars,10,A1070,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1090,"Set up Document Management System (e.g., Aconex, ProjectWise)",10,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1100,Establish Document Control Procedures and Numbering System,10,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1110,"Set up Cost Management and Planning Systems (e.g., P6, Prism, SAP)",20,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1120,Develop Detailed Level 4 Baseline Programme,20,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1130,Resource and Cost Load the Baseline Programme,10,A1120,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1140,Conduct Baseline Programme Review and Validation Workshop,1,A1130,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1150,Submit Baseline Programme for Approval,0,A1140,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1160,Milestone: Baseline Programme Approved**,0,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1170,Establish Performance Measurement Baseline (PMB) for Cost & Schedule,0,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1180,Establish Change Management and Variation Control Procedure,10,A1170,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1190,"Project Controls - Execution, Monitoring & Control Phase (Level of Effort)**",-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1200,Perform Weekly Planning & Progress Update Cycle,-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1210,Prepare and Issue 4-Week Lookahead Programmes,-1,A1200,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1220,"Prepare and Issue Monthly Progress Report (including S-Curves, CPI/SPI)",-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1230,Conduct Monthly Progress and Commercial Review Meetings,-1,A1270,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1240,Manage and Process Change Orders / Variations,-1,A1230,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1250,Maintain Programme Revisions and incorporate Approved Changes,-1,A1240,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1260,Perform Earned Value Management (EVM) Analysis,-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1270,Maintain and Update Project Cost Forecast (Estimate at Completion - EAC),-1,A1260,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1280,Ongoing Management of Document Submittals and Transmittals,-1,A1210,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1290,Process and Distribute Requests for Information (RFIs) and Site Instructions,-1,A1280,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1300,Maintain Master Document Register (MDR),-1,A1290,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1310,Project Controls - Closeout Phase**,-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1320,Develop and Manage Commissioning & Handover Programme,-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1330,Compile and Submit Final As-Built Documentation,10,A1320,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1340,Compile and Submit Final Handover Documentation (O&M Manuals),15,A1330,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1350,Prepare and Agree on Final Account Submission,20,A1340,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1360,Prepare Final Project Controls Report (including Lessons Learned),10,A1350,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1370,Archive all Project Documentation and Data,10,A1360,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1380,Milestone: Project Controls Closeout Complete**,0,START,N/A,N/A
1.3 Engineering Management & Design Coordination,A1390,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
1.3 Engineering Management & Design Coordination,A1400,Design Initiation & Planning**,10,START,N/A,N/A
1.3 Engineering Management & Design Coordination,A1410,Develop and Finalise Engineering Management Plan (EMP),15,A1430,N/A,N/A
1.3 Engineering Management & Design Coordination,A1420,Establish Design Deliverables Register and Schedule,10,A1410,N/A,N/A
1.3 Engineering Management & Design Coordination,A1430,Mobilise Design Management & Coordination Team,15,START,N/A,N/A
1.3 Engineering Management & Design Coordination,A1440,Conduct Project Design Kick-Off Meeting with all Disciplines,0,A1420,N/A,N/A
1.3 Engineering Management & Design Coordination,A1450,Finalise and Approve Basis of Design (BOD) Document,10,A1700,N/A,N/A
1.3 Engineering Management & Design Coordination,A1460,Preliminary / 30% Design Stage**,60,START,N/A,N/A
1.3 Engineering Management & Design Coordination,A1470,Prepare and Issue 30% Preliminary Design Package for Internal Review,20,A1450,N/A,N/A
1.3 Engineering Management & Design Coordination,A1480,Conduct Inter-Disciplinary Coordination & Clash Review for 30% Design,5,A1470,N/A,N/A
1.3 Engineering Management & Design Coordination,A1490,Submit 30% Preliminary Design Package to Client for Review & Comment,0,A1480,N/A,N/A
1.3 Engineering Management & Design Coordination,A1500,Incorporate Client Comments into Design,5,A1550,N/A,N/A
1.3 Engineering Management & Design Coordination,A1510,Achieve Milestone: Client Approval of 30% Preliminary Design,0,A1500,N/A,N/A
1.3 Engineering Management & Design Coordination,A1520,Detailed / 60% Design Stage**,60,START,N/A,N/A
1.3 Engineering Management & Design Coordination,A1530,Prepare and Issue 60% Detailed Design Package for Internal Review,10,A1510,N/A,N/A
1.3 Engineering Management & Design Coordination,A1540,Conduct Inter-Disciplinary Coordination & Clash Review for 60% Design,10,A1530,N/A,N/A
1.3 Engineering Management & Design Coordination,A1550,Submit 60% Detailed Design Package to Client for Review & Comment,0,A1540,N/A,N/A
1.3 Engineering Management & Design Coordination,A1560,Incorporate Client Comments into Design,5,A1550,N/A,N/A
1.3 Engineering Management & Design Coordination,A1570,Achieve Milestone: Client Approval of 60% Detailed Design,0,A1500,N/A,N/A
1.3 Engineering Management & Design Coordination,A1580,Prepare and Issue 90% Pre-Final Design Package for Internal Review,10,A1570,N/A,N/A
1.3 Engineering Management & Design Coordination,A1590,Conduct Final Inter-Disciplinary Coordination & Clash Detection,10,A1580,N/A,N/A
1.3 Engineering Management & Design Coordination,A1600,Submit 90% Pre-Final Design Package to Client for Final Review,0,A1590,N/A,N/A
1.3 Engineering Management & Design Coordination,A1610,Incorporate Final Client Comments into Design,5,A1600,N/A,N/A
1.3 Engineering Management & Design Coordination,A1620,Achieve Milestone: Client Approval of 90% Pre-Final Design,0,A1610,N/A,N/A
1.3 Engineering Management & Design Coordination,A1630,Prepare and Issue 100% Issued for Construction (IFC) Drawings & Specifications,5,A1620,N/A,N/A
1.3 Engineering Management & Design Coordination,A1640,Perform Final Quality Assurance / Quality Control (QA/QC) on IFC Package,10,A1630,N/A,N/A
1.3 Engineering Management & Design Coordination,A1650,Submit IFC Package for Statutory / Authority Approvals,0,A1640,N/A,N/A
1.3 Engineering Management & Design Coordination,A1660,Achieve Milestone: Receive all Required Authority Approvals,0,A1650,N/A,N/A
1.3 Engineering Management & Design Coordination,A1670,Manage and Track Design Progress & Performance,-1,START,N/A,N/A
1.3 Engineering Management & Design Coordination,A1680,Conduct Weekly Design Coordination Meetings,-1,A1710,N/A,N/A
1.3 Engineering Management & Design Coordination,A1690,"Manage Design Interface between Disciplines (Arch, Struc, MEP, etc.)",-1,START,N/A,N/A
1.3 Engineering Management & Design Coordination,A1700,Manage and Control Design Changes and Variations,-1,A1670,N/A,N/A
1.3 Engineering Management & Design Coordination,A1710,Manage Document Control and Transmittals,-1,A1440,N/A,N/A
1.3 Engineering Management & Design Coordination,A1720,Provide Technical Support during Procurement & Tendering Phase,-1,A1660,N/A,N/A
1.3 Engineering Management & Design Coordination,A1730,Review and Approve Contractor Technical Submittals and Shop Drawings,10,A1720,N/A,N/A
1.3 Engineering Management & Design Coordination,A1740,Manage and Respond to Site Technical Queries (TQs) / Requests for Information (RFIs),-1,A1730,N/A,N/A
1.3 Engineering Management & Design Coordination,A1750,Review and Incorporate Red-Line Markups for As-Built Records,10,A1740,N/A,N/A
1.3 Engineering Management & Design Coordination,A1760,Prepare and Submit Final As-Built Drawings and Documentation,30,A1750,N/A,N/A
1.3 Engineering Management & Design Coordination,A1770,Compile and Issue Final Design Handover and Closeout Report,10,A1760,N/A,N/A
"1.4 Quality, Health, Safety & Environment (QHSE) Management",A1780,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
"1.4 Quality, Health, Safety & Environment (QHSE) Management",A1790,Develop Overall Project QHSE Management Plan,15,START,N/A,N/A
"1.4 Quality, Health, Safety & Environment (QHSE) Management",A1800,Develop Project-Specific Health & Safety (H&S) Plan,10,A1790,N/A,N/A
"1.4 Quality, Health, Safety & Environment (QHSE) Management",A1810,Develop Project-Specific Environmental Management Plan,15,A1790,N/A,N/A
"2.1 Surveys (Topographical, Geotechnical) & Investigations",A1820,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
"2.1 Surveys (Topographical, Geotechnical) & Investigations",A1830,Develop and Finalise Scope of Work (SOW) for Survey & Investigation Package,10,START,N/A,N/A
"2.1 Surveys (Topographical, Geotechnical) & Investigations",A1840,Procure and Appoint Specialist Survey Subcontractor,30,A1830,N/A,N/A
"2.1 Surveys (Topographical, Geotechnical) & Investigations",A1850,Submit and Approve Method Statements & Risk Assessments (RAMS) for Survey Works,10,A1840,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1860,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1870,Design Management & Initiation**,-1,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1880,Mobilize Detailed Design Team & Hold Kick-Off Meeting,5,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1890,Review and Finalize Basis of Design (BOD) Document,10,A1880,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1900,"Compile and Review All Input Data (Geotechnical Reports, Surveys, Preliminary Design)",10,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1910,Develop and Approve Detailed Design Execution Plan & Schedule,20,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1920,Global Structural Analysis & Modeling**,30,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1930,"Develop 3D Global Structural Analysis Model (e.g., Midas, SAP2000)",20,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1940,"Define and Apply All Load Cases (Dead, Live, Wind, Seismic, Thermal)",10,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1950,Run Global Structural Analysis and Extract Member Forces,5,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1960,Prepare and Submit Global Structural Analysis Report for Review,10,A1950,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1970,Detailed Substructure Design**,60,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1980,Perform Detailed Design of Foundations (Piles / Pile Caps / Rafts),30,A1960,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A1990,Perform Detailed Design of Viaduct Piers and Pier Caps,30,A1980,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2000,Perform Detailed Design of Abutments and Wing Walls,15,A1990,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2010,Perform Detailed Design of Viaduct Deck / Girders (Precast or Cast-in-Situ),60,A2000,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2020,Design and Specify Structural Bearings,15,A2010,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2030,Design Pier Head Pedestals and Seismic Arrestors/Restrainers,30,A2020,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2040,Design Expansion Joints and End-Diaphragms,15,A2030,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2050,Design of Associated Retaining Walls and Embankments,30,A2040,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2060,Integrate and Design Structural Elements for Drainage System,15,A2050,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2070,"Coordinate and Finalize Design for MEP/Systems Embedments (Conduits, Lighting)",-1,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2080,Develop and Finalize Architectural Finishes and Cladding Details,30,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2090,Produce General Arrangement (GA) Drawings,15,A2080,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2100,Produce Formwork and Reinforcement Drawings for Foundations,15,A2090,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2110,Produce Formwork and Reinforcement Drawings for Piers and Abutments,30,A2100,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2120,Produce Formwork and Reinforcement Drawings for Superstructure Deck/Girders,15,A2110,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2130,"Produce Detail Drawings for Bearings, Pedestals, and Seismic Arrestors",20,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2140,Prepare Detailed Bill of Quantities (BoQ),15,START,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2150,Prepare Technical Specifications for Materials and Workmanship,15,A2140,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2160,Conduct Internal Structural Design Review and Verification (Checker),10,A2150,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2170,Issue Design Packages for Inter-Disciplinary Check (IDC),0,A2160,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2180,Incorporate Comments from IDC Review Cycle,5,A2170,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2190,"Compile and Submit Full Design Package for ""Issued for Approval"" (IFA)",5,A2180,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2200,Receive and Review Comments from Client/Engineer,5,A2190,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2210,Incorporate Final Comments and Revise Drawings & Documents,5,A2200,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2220,"Submit Final Design Package for ""Issued for Construction"" (IFC) Status",0,A2210,N/A,N/A
2.2 Detailed Design - Viaduct & Associated Structures,A2230,Archive Final Design Deliverables,5,A2220,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2240,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2250,Design Initiation & Basis of Design**,10,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2260,Conduct Detailed Design Kick-Off Meeting,0,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2270,"Gather and Review all Input Data (Geotechnical Reports, Topographical Surveys, Concept Design)",10,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2280,"Develop and Finalize the ""Basis of Design"" Document",30,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2290,Establish BIM Execution Plan (BEP) and Common Data Environment (CDE),20,A2280,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2300,Architectural Detailed Design**,60,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2310,"Develop Detailed General Arrangement (GA) Plans, Sections, and Elevations",20,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2320,Develop 3D Architectural Model,20,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2330,Finalize Architectural Finishes Schedule and Material Selection,10,A2320,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2340,"Prepare Detailed Drawings for Facade, Roofing, and Internal Partitions",30,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2350,"Prepare Door, Window, and Hardware Schedules",10,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2360,Structural Detailed Design**,90,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2370,Develop Structural Framing System and 3D Structural Model,40,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2380,"Perform Detailed Structural Analysis and Calculations (Static, Dynamic, Seismic)",20,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2390,"Detailed Design of Substructure (Foundations, Piles, Pile Caps)",30,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2400,"Detailed Design of Superstructure (Columns, Beams, Slabs, Station Box)",90,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2410,"Detailed Design of Specialized Structural Components (e.g., Bearing **Pedestals, Seismic Arrestors**)",30,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2420,Prepare Structural Reinforcement Drawings and Bar Bending Schedules,15,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2430,"Detailed Design of HVAC System, including Ducting and Plant Room Layouts",45,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2440,"Detailed Design of Electrical Systems (Power, Lighting, Cable Containment, Earthing)",45,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2450,"Detailed Design of Plumbing, Drainage, and Sanitary Systems",30,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2460,"Detailed Design of Fire Protection and Life Safety Systems (Sprinklers, Alarms, Smoke Extract)",30,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2470,"Detailed Design of Station ELV Systems (CCTV, PA, Access Control, Comms)",45,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2480,Develop Coordinated 3D MEP Models,30,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2490,Conduct Weekly Inter-Disciplinary Coordination (IDC) Workshops,-1,A2480,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2500,"Perform BIM Clash Detection, Analysis, and Resolution",-1,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2510,Update and Maintain Federated BIM Model,-1,START,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2520,Prepare and Consolidate 60% Detailed Design Submission Package,20,A2510,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2530,Conduct Internal QA/QC and Peer Review of 60% Design Package,10,A2520,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2540,Submit 60% Design Package for Client / Authority Review,0,A2530,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2550,Receive and Incorporate Comments on 60% Design Submission,1,A2540,6.3.2,CR-ROAD-01
2.3 Detailed Design - Elevated Stations,A2560,Prepare and Consolidate 90% (Pre-Final) Design Submission Package,5,A2550,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2570,Conduct Internal QA/QC and Peer Review of 90% Design Package,10,A2560,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2580,Submit 90% Design Package for Client / Authority Review,0,A2570,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2590,Receive and Incorporate Final Comments on 90% Design Submission,10,A2580,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2600,Finalize all Design Calculations and Technical Specifications,0,A2590,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2610,Prepare Final Bill of Quantities (BOQ) and Cost Estimates,15,A2600,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2620,"Prepare and Issue ""Issued for Construction"" (IFC) Drawing Package",5,A2610,N/A,N/A
2.3 Detailed Design - Elevated Stations,A2630,Compile and Submit Final Design Report,5,A2620,N/A,N/A
